SID,SEASON,BASIN,NAME,ISO_TIME,LAT,LON,TRACK_TYPE
2023005S18142,2023,SP,HALE,2023-01-04 18:00:00,-18.2,142,main
2023005S18142,2023,SP,HALE,2023-01-04 21:00:00,-18.1,142.5,main
2023005S18142,2023,SP,HALE,2023-01-05 00:00:00,-18.1,143,main
2023005S18142,2023,SP,HALE,2023-01-05 03:00:00,-18.1,143.5,main
2023005S18142,2023,SP,HALE,2023-01-05 06:00:00,-18.1,144.1,main
2023005S18142,2023,SP,HALE,2023-01-05 09:00:00,-18.1,144.6,main
2023005S18142,2023,SP,HALE,2023-01-05 12:00:00,-18.1,145.3,main
2023005S18142,2023,SP,HALE,2023-01-05 15:00:00,-18.2,146.9,main
2023005S18142,2023,SP,HALE,2023-01-05 18:00:00,-18.3,148.4,main
2023005S18142,2023,SP,HALE,2023-01-05 21:00:00,-18.5,149.1,main
2023005S18142,2023,SP,HALE,2023-01-06 00:00:00,-18.5,149.2,main
2023005S18142,2023,SP,HALE,2023-01-06 03:00:00,-18.5,149.8,main
2023005S18142,2023,SP,HALE,2023-01-06 06:00:00,-18.5,150.5,main
2023005S18142,2023,SP,HALE,2023-01-06 09:00:00,-18.7,150.8,main
2023005S18142,2023,SP,HALE,2023-01-06 12:00:00,-19,151.3,main
2023005S18142,2023,SP,HALE,2023-01-06 15:00:00,-19.3,152,main
2023005S18142,2023,SP,HALE,2023-01-06 18:00:00,-19.7,152.8,main
2023005S18142,2023,SP,HALE,2023-01-06 21:00:00,-20.1,153.7,main
2023005S18142,2023,SP,HALE,2023-01-07 00:00:00,-20.6,154.7,main
2023005S18142,2023,SP,HALE,2023-01-07 03:00:00,-20.8,155.6,main
2023005S18142,2023,SP,HALE,2023-01-07 06:00:00,-21.1,156.7,main
2023005S18142,2023,SP,HALE,2023-01-07 09:00:00,-21.6,158,main
2023005S18142,2023,SP,HALE,2023-01-07 12:00:00,-22.1,159.5,main
2023005S18142,2023,SP,HALE,2023-01-07 15:00:00,-22.7,161.2,main
2023005S18142,2023,SP,HALE,2023-01-07 18:00:00,-23.3,162.6,main
2023005S18142,2023,SP,HALE,2023-01-07 21:00:00,-24,163.4,main
2023005S18142,2023,SP,HALE,2023-01-08 00:00:00,-24.6,164.3,main
2023005S18142,2023,SP,HALE,2023-01-08 03:00:00,-25,165.5,main
2023005S18142,2023,SP,HALE,2023-01-08 06:00:00,-25.3,166.7,main
2023005S18142,2023,SP,HALE,2023-01-08 09:00:00,-25.4,167.6,main
2023005S18142,2023,SP,HALE,2023-01-08 12:00:00,-25.4,168.1,main
